Champion;Ability;Type;Description;Range;Cooldown;Cost;Scalings
LEE SIN;SONIC WAVE;Q;Range: 975 Cooldown: 11/10/9/8/7 Cost: 50 Lee Sin projects a discordant wave of sound to locate his enemies, dealing 55/80/105/130/155 (+1.0 per bonus attack damage) physical damage to the first enemy it encounters and revealing them for 3 seconds. If Sonic Wave hits, Lee Sin can cast Resonating Strike within the next 3 seconds.;975;11/10/9/8/7;50;(+1.0 per bonus attack damage)
LEE SIN;SONIC WAVE/RESONATING STRIKE;Q;Range: 975 Cooldown: 11/10/9/8/7 Cost: 50 Sonic Wave: Lee Sin projects a discordant wave of sound to locate his enemies, dealing 55/80/105/130/155 (+1.0 per bonus attack damage) physical damage to the first enemy it encounters and revealing them for 3 seconds. If Sonic Wave hits, Lee Sin can cast Resonating Strike within the next 3 seconds. Resonating Strike (30 energy): Lee Sin dashes to the enemy hit by Sonic Wave, dealing 55/80/105/130/155 (+1.0 per bonus attack damage) physical damage, increased by up to 100% based on target's missing health.;975;11/10/9/8/7;50;(+1.0 per bonus attack damage), (+1.0 per bonus attack damage)
LEE SIN;TEMPEST;E;Range: 350 Cooldown: 10 Cost: 50 Lee Sin smashes the ground, sending out a shockwave that deals 80/120/160/200/240 (+1.0 per bonus attack damage) magic damage and reveals enemy units hit for 4 seconds. If Tempest hits an enemy, Lee Sin can cast Cripple for the next 3 seconds. Tempest does not reveal invisible targets.;350;10;50;(+1.0 per bonus attack damage)
LEE SIN;TEMPEST/CRIPPLE;E;Range: 350 Cooldown: 10 Cost: 50 Tempest: Lee Sin smashes the ground sending out a shockwave that deals 80/120/160/200/240 (+1.0 per bonus attack damage) magic damage and reveals enemy units hit for 4 seconds. If Tempest hits an enemy, Lee Sin can cast cripple for the next 3 seconds. Cripple (30 energy): Lee Sin cripples nearby enemies revealed by Tempest, reducing their Movement Speed by 20/30/40/50/60 % for 4 seconds. Movement Speed recovers gradually over the duration. Tempest does not reveal invisible targets.;350;10;50;(+1.0 per bonus attack damage)
LEONA;ECLIPSE;W;Range: 275 Cooldown: 14/13/12/11/10 Cost: 60 Leona raises her shield to grant herself 8/12/16/20/24 flat damage reduction for 3 seconds. She also gains 20/25/30/35/40 (+20% of bonus Armor) bonus Armor and 20/25/30/35/40 (+20% of bonus Magic Resistance) Magic Resistance for the same duration. When the effect ends, Leona deals 60/95/130/165/200 (+40% of ability power) magic damage to nearby enemies while prolonging the effect for a bonus 3 seconds if any enemies are struck.;275;14/13/12/11/10;60;(+20% of bonus Armor), (+20% of bonus Magic Resistance), (+40% of ability power)
LEONA;SHIELD OF DAYBREAK;Q;Cooldown: 5 Cost: 45/50/55/60/65 Leona's next basic attack will have 50 bonus range, deal 10/35/60/85/110 (+30% of ability power) additional magic damage, and stun the target for 1 second.;;5;45/50/55/60/65;(+30% of ability power)
LEONA;SOLAR FLARE;R;Range: 1200 Cooldown: 90/75/60 Cost: 100 After a brief delay, Leona calls down a beam of solar energy dealing 100/175/250 (+80% of ability power) magic damage and slowing enemies by 80% for 1.5 seconds. Enemies in the center of the beam are stunned instead of slowed.;1200;90/75/60;100;(+80% of ability power)
LEONA;SUNLIGHT;Passive;Leona's damaging spells affect the target with Sunlight for 1.5 seconds. When allied champions deal damage to those targets they consume the Sunlight debuff to deal 25-144 (at levels 1-18) additional magic damage. The amount is increased every 2 levels. Leona is unable to activate the additional damage herself.;;;;
LEONA;ZENITH BLADE;E;Range: 700 Cooldown: 12/10.5/9/7.5/6 Cost: 60 Leona projects a solar image of her sword, which deals 50/90/130/170/210 (+40% of ability power) magic damage to all enemies in a line. When the image fades, the last enemy champion struck will be immobilized for 0.5 seconds and Leona will dash to them.;700;12/10.5/9/7.5/6;60;(+40% of ability power)
LISSANDRA;FROZEN TOMB;R;Cooldown: 120/100/80 Cost: 100 Enemy Cast: Lissandra freezes the target enemy champion, stunning it for 1.5 seconds. Self Cast: Lissandra encases herself in dark ice for 2.5 seconds, becoming untargetable and invulnerable but unable to take any actions. Lissandra also gets healed for 100/150/200 (+30% of ability power) (+1% per 1% of missing health) health over the duration. After casting, dark ice spreads from Lissandra's frozen target after a 0.5-second delay, dealing 150/250/350 (+75% of ability power) magic damage to enemies. The ice lasts for 3 seconds and slows enemy Movement Speed by 30/52.5/75%.;;120/100/80;100;(+30% of ability power), (+1% per 1% of missing health), (+75% of ability power)
LISSANDRA;GLACIAL PATH;E;Range: 1050 Cooldown: 24/21/18/15/12 Cost: 80/85/90/95/100 Casts a claw of ice that moves forward in a line, dealing 70/105/140/175/210 (+60% of ability power) magic damage to all enemies hit. Reactivating this ability transports Lissandra to the claw's current location.;1050;24/21/18/15/12;80/85/90/95/100;(+60% of ability power)
LISSANDRA;ICE SHARD;Q;Range: 725 Cooldown: 8/7/6/5/4 Cost: 60/65/70/75/80 Throws a spear of ice that travels in a line and shatters when it hits an enemy, dealing 70/100/130/160/190 (+80% of ability power) magic damage and slowing its Movement Speed by 16/19/22/25/28% for 1.5 seconds. Shards then pass through the target, dealing the same damage to other enemies hit (but not slowing them).;725;8/7/6/5/4;60/65/70/75/80;(+80% of ability power)
LISSANDRA;ICEBORN SUBJUGATION;Passive;Whenever an enemy champion dies while Lissandra is near, she spawns a Frozen Thrall from their corpse. Frozen Thralls chase nearby enemies, prioritizing champions, slowing nearby enemies by 25% and shattering after 4 seconds, dealing 120−520 (based on level) (+50% of ability power) magic damage. Frozen Thralls gain increasing movement speed over their duration.;;;;(+50% of ability power)
LISSANDRA;RING OF FROST;W;Cooldown: 14/13/12/11/10 Cost: 40 Freezes an area around Lissandra, dealing 70/105/150/175/210 (+70% of ability power) magic damage to nearby enemies and rooting them for 1.1/1.2/1.3/1.4/1.5 seconds.;;14/13/12/11/10;40;(+70% of ability power)
LUCIAN;ARDENT BLAZE;W;Range: 900 Cooldown: 14/13/12/11/10 Cost: 70 Lucian fires a shot that explodes upon hitting an enemy or reaching the end of its path, damaging enemies in a cross pattern for 75/110/145/180/215 (+90% AP) magic damage and marking enemies hit for 6 seconds. If Lucian or any of his allies damage a marked target with their basic attacks or abilities, Lucian gains 60/65/70/75/80 flat movement speed bonus for 1 second. This does not consume the mark.;900;14/13/12/11/10;70;(+90% AP)
LUCIAN;LIGHTSLINGER;Passive;After using an ability, Lucian's next basic attack within 3 seconds shoots twice, the second shot dealing 50/55/60% attack damage in physical damage (depending on level), increased to 100% attack damage against minions. The second shot applies on-hits and on-attack effects at full effect and can critically strike for 75% bonus physical damage. If Lucian's primary target is killed before the second shot can go off, he automatically shoots another enemy in range.;;;;
LUCIAN;PIERCING LIGHT;Q;Range: 1000 Cooldown: 9/8/7/6/5 Cost: 50/60/70/80/90 After a 0.4-0.25 second delay (based on level), Lucian fires a laser in the direction of the target enemy, dealing 85/120/155/190/225 (+0.6/0.75/0.9/1.05/1.2 per bonus attack damage) physical damage to all enemies in a line.;1000;9/8/7/6/5;50/60/70/80/90;(+0.6/0.75/0.9/1.05/1.2 per bonus attack damage)
LUCIAN;RELENTLESS PURSUIT;E;Range: 425 Cooldown: 22/20/18/16/14 Cost: 40/30/20/10/0 Lucian dashes a short distance. Relentless Pursuit's cooldown is reduced by 1 second per Lightslinger (passive) hit, doubles against enemy champions (2 second reduction per hit, 4 seconds total for a full passive proc).;425;22/20/18/16/14;40/30/20/10/0;
LUCIAN;THE CULLING;R;Range: 1200 Cooldown: 110/100/90 Cost: 100 Lucian starts firing 20/25/30 shots in the target direction for 3 seconds, each shot dealing 20/40/60 (+0.25 per attack damage) (+10% of ability power) physical damage to the first enemy it hits. The Culling is considered a channeled ability and it can be interrupted, but Lucian can move freely (including movement abilities) without interrupting it himself. Reactivate The Culling to cancel the ability early. The Culling deals double damage to minions.;1200;110/100/90;100;(+0.25 per attack damage), (+10% of ability power)
LULU;GLITTERLANCE;Q;Range: 925 Cooldown: 7 Cost: 50/55/60/65/70 Lulu and Pix each fire a piercing bolt that deals 80/125/170/215/260 (+50% of ability power) magic damage to the first target hit and applies an 80% slow which decays over 2 seconds. Additional targets hit are also slowed, but only take 70% of the damage. An enemy can only be damaged by one bolt. If they are hit by both bolts, they will take damage equal to the highest damage bolt.;925;7;50/55/60/65/70;(+50% of ability power)
LULU;HELP, PIX!;E;Range: 650 Cooldown: 8 Cost: 60/65/70/75/80 On Ally Cast: Commands Pix to jump to an ally and then follow and aid their attacks instead of Lulu's for 6 seconds. If the target is an allied champion, Pix shields them from 80/120/160/200/240 (+60% of ability power) damage for 2.5 seconds. On Enemy Cast: Pix deals 80/120/160/200/240 (+40% of ability power) magic damage to target enemy unit. Pix then follows and grants vision of them for 6 seconds.;650;8;60/65/70/75/80;(+60% of ability power), (+40% of ability power)
LULU;PIX, FAERIE COMPANION;Passive;Pix fires a barrage of 3 bolts, dealing a total of 15-117 (at levels 1-18) (+15% of ability power), at whomever Lulu attacks. These bolts are homing but can be blocked by other units.;;;;(+15% of ability power)
LULU;WHIMSY;W;Range: 650 Cooldown: 16/15/14/13/12 Cost: 65 On ally cast: Target ally gains 30% movement speed (+5% of ability power) and 25/30/35/40/45% bonus attack speed for 3/3.25/3.5/3.75/4 seconds. On enemy cast: Polymorphs an enemy champion for 1.5/1.75/2/2.25/2.5 seconds, disabling their ability to attack or cast spells and reducing their base movement speed by 60.;650;16/15/14/13/12;65;(+5% of ability power)
LULU;WILD GROWTH;R;Range: 900 Cooldown: 110/95/80 Cost: 100 Lulu enlarges her ally, knocking nearby enemies into the air. For 7 seconds her ally gains 300/450/600 (+50% of ability power) bonus health and slows nearby enemies by 30/45/60% for .25 seconds. This slow duration is refreshed if enemies stay near Wild Growth's aura.;900;110/95/80;100;(+50% of ability power)
LUX;FINAL SPARK;R;Range: 3340 Cooldown: 80/60/40 Cost: 100 After gathering energy for a half second, Lux fires a beam of light that deals 300/400/500 (+100% of ability power) damage to all targets in the area and reveals it. It ignites and refreshes Lux's Illumination debuff if it hits enemies already afflicted. Lux can Flash while casting Final Spark though her ultimate won't follow her when she flashes.;3340;80/60/40;100;(+100% of ability power)
LUX;ILLUMINATION;Passive;Lux's damaging spells charge the target with energy for 6 seconds. Lux's next attack ignites the energy, dealing 18-190 (at levels 1-18) (+20% of ability power) magic damage to the target.;;;;(+20% of ability power)
LUX;LIGHT BINDING;Q;Range: 1175 Cooldown: 11/10.5/10/9.5/9 Cost: 50 Lux releases a sphere of light that immobilizes and deals 80/125/170/215/260 (+60% of ability power) magic damage to up to two enemy units for 2 seconds.;1175;11/10.5/10/9.5/9;50;(+60% of ability power)
LUX;LUCENT SINGULARITY;E;Range: 1000 Cooldown: 10/9.5/9/8.5/8 Cost: 70/80/90/100/110 Lux sends an anomaly of twisted light to the target area for up to 5 seconds, slowing enemies inside for 25/30/35/40/45% and granting a 600 radius vision around it. Lucent Singularity can be recast at no delay. At the end of the duration or if Lucent Singularity is reactivated, the area detonates, dealing 60/105/150/195/240 (+60% of ability power) magic damage. Lux can detonate Lucent Singularity early. If recast while in flight, the ability will detonate on arrival. The slow lingers for 1 second after leaving the area. Enemies hit by Lucent Singularity are also slowed for 1 second.;1000;10/9.5/9/8.5/8;70/80/90/100/110;(+60% of ability power)
LUX;PRISMATIC BARRIER;W;Range: 1075 Cooldown: 14/13/12/11/10 Cost: 60 Lux throws her wand to a target location, bending the light around herself and any friendly champion it touches by granting a 50/75/100/125/150 (+30% of ability power) damage shield for 2.5 seconds. After reaching maximum range, the wand returns to Lux, shielding herself and any friendly champion it touches for the same amount again. The second shield stacks with the first shield while also refreshing the shield duration.;1075;14/13/12/11/10;60;(+30% of ability power)
MALPHITE;GRANITE SHIELD;Passive;Malphite is shielded by a layer of rock which absorbs damage up to 10% of his maximum health. If he has not been hit for 10/8/6 seconds, this effect recharges. The cooldown is reduced at levels 1/7/13.;;;;
MALPHITE;GROUND SLAM;E;Range: 400 Cooldown: 7 Cost: 50/55/60/65/70 Malphite slams the ground dealing 60/95/130/165/200 (+40% of his Total Armor) (+60% of ability power) magic damage to surrounding enemies, reducing their attack speed by 30/35/40/45/50 % for 3 seconds.;400;7;50/55/60/65/70;(+40% of his Total Armor), (+60% of ability power)
MALPHITE;SEISMIC SHARD;Q;Range: 625 Cooldown: 8 Cost: 70/75/80/85/90 Malphite sends a shard of the earth through the ground at his target, dealing 70/120/170/220/270 (+60% of ability power) magic damage upon impact and stealing 20/25/30/35/40% of their movement speed for 3 seconds.;625;8;70/75/80/85/90;(+60% of ability power)
MALPHITE;THUNDERCLAP;W;Cooldown: 12 Cost: 30/35/40/45/50 Passive: Malphite gains 10/15/20/25/30% bonus armor, tripled while Granite Shield is active. Active: Malphite's next basic attack within 6 seconds gains 50 bonus range and deals 30/45/60/75/90 (+20% of ability power) (+15% of total armor) bonus physical damage on-hit. Additionally, for 5 seconds, Malphite's basic attacks also deal 10/20/30/40/50 (+20% of ability power) (+10% of total armor) physical damage in a cone to units behind his target.;;12;30/35/40/45/50;(+20% of ability power), (+15% of total armor), (+20% of ability power), (+10% of total armor)
MALPHITE;UNSTOPPABLE FORCE;R;Range: 1000 Cooldown: 130/105/80 Cost: 100 Malphite charges towards the target area, dealing 200/300/400 (+80% of ability power) magic damage, knocking enemies into the air and stunning for 1.5 seconds in 325 area around impact. Malphite cannot be interrupted during this charge.;1000;130/105/80;100;(+80% of ability power)
MALZAHAR;CALL OF THE VOID;Q;Range: 900 Cooldown: 6 Cost: 80 Malzahar opens two portals to the void. After a 0.25 cast time and a 0.4 second delay, the portals fire projectiles which deal 70/105/140/175/210 (+65% of ability power) magic damage and silence champions for 1/1.25/1.5/1.75/2 seconds.;900;6;80;(+65% of ability power)
MALZAHAR;MALEFIC VISIONS;E;Range: 650 Cooldown: 15/13/11/9/7 Cost: 60/70/80/90/100 Malzahar infects his target's mind, dealing 80/115/150/185/220 (+80% of ability power) magic damage over 4 seconds. If the target dies during this time, the visions pass to a nearby enemy and Malzahar gains 2% of his maximum Mana. Damaging a target with Call of the Void or Nether Grasp will refresh the duration of Malefic Visions.;650;15/13/11/9/7;60/70/80/90/100;(+80% of ability power)
MALZAHAR;NETHER GRASP;R;Range: 700 Cooldown: 140/110/80 Cost: 100 Malzahar suppresses a target champion for 2.5 seconds, dealing 125/200/275 (+80% of ability power) to the target and creating a zone of negative energy around them for 5 seconds, which deals 10/15/20% (+2.5% per 100 ability power) maximum health as magic damage over the duration to all targets in the Null Zone for the duration.;700;140/110/80;100;(+80% of ability power), (+2.5% per 100 ability power)
MALZAHAR;VOID SHIFT;Passive;Malzahar skirts the line between dimensions, activating Void Shift after avoiding direct damage for 30/24/18/12 seconds. During Void Shift, Malzahar takes 90% reduced damage and is immune to crowd control. Malzahar loses Void Shift 0.25 second after taking damage from a non-minion source or blocking a crowd control effect.;;;;
MALZAHAR;VOID SWARM;W;Range: 150 Cooldown: 8 Cost: 40/45/50/55/60 Malzahar gains a stack of Gathering Swarm when he casts other abilities (max 2). On cast, Malzahar summons a Voidling, plus an additional Voidling per stack of Gathering Swarm (max 3 per cast). Voidlings will fight nearby enemies for 8/8/9/9/10 seconds. Voidling attacks deal 5-64.5 (at levels 1-18) (+0.4 per bonus attack damage) plus 12/14/16/18/20 (+20% of ability power) (+0.4 per bonus attack damage) magic damage (50% damage against monsters). Voidlings prefer to attack targets afflicted by Malefic Visions or Nether Grasp and deal 300% damage to minions affected by Malefic Visions. Voidlings have 65-201 health, 16-50 armor and 8-25 magic resist (at levels 1-18). Turret and champion basic attacks kill Voidlings instantly, regardless of health. Voidlings have 400 movement speed and give a bounty of 2 gold when killed.;150;8;40/45/50/55/60;(+0.4 per bonus attack damage), (+20% of ability power), (+0.4 per bonus attack damage)
MAOKAI;BRAMBLE SMASH;Q;Range: 700 Cooldown: 8/7.25/6.5/5.75/5 Cost: 60 Maokai slams the ground, the force of which knocks nearby enemies back and sends an arcane shockwave forward, dealing 70/115/160/205/250 (+40% of ability power) magic damage and slowing his enemies by 99% for 0.25 seconds. Enemies close to Maokai are knocked back slightly more.;700;8/7.25/6.5/5.75/5;60;(+40% of ability power)
MAOKAI;NATURE'S GRASP;R;Range: 3000 Cooldown: 120/100/80 Cost: 100 Maokai summons a colossal wall of 5 thorny brambles that slowly advances forward, each stopping at the first enemy champion they collide with, dealing 150/225/300 (+75% of ability power) magic damage and rooting them for 0.8-2.6 seconds (based on distance traveled).;3000;120/100/80;100;(+75% of ability power)
MAOKAI;SAP MAGIC;Passive;Cooldown: 30/25/20 Periodically, Maokai's next basic attack against a non-structure heals him for 5/15/25/35/45/55/65 (+6/7.5/9/10/11/12/13% maximum health) (based on level). Each time Maokai casts an ability or is struck by an enemy's ability, Sap Magic's cooldown is reduced by 4 seconds. Sap Magic will not trigger if Maokai is above 95% health. Cooldown: 30/25/20 seconds (at levels 1/6/11);;30/25/20;;(+6/7.5/9/10/11/12/13% maximum health)
MAOKAI;SAPLING TOSS;E;Range: 1100 Cooldown: 10 Cost: 60/65/70/75/80 Maokai hurls a sapling to a target area. The sapling becomes implanted in the ground, warding a nearby area for 30 seconds. After a 1 second delay after landing, the sapling will seek out nearby enemies. When an enemy approaches, the sapling will chase for up to 2.5 seconds and explode in an arcane blast that deals 25/50/75/100/125 plus 7/7.25/7.5/7.75/8% (+1% per 100 ability power) of target's maximum health as magic damage to enemies and slows them by 35% for 2 seconds. Saplings have 400 base movement speed increasing based on Maokai's boots: Boots of Speed: 425 Most upgraded boots: 445 Boots of Swiftness/Boots of Mobility: 460 Saplings tossed into brush last 30 (+2.5% of Maokai's bonus health) seconds and have a larger detonation radius. Enemies caught in the explosion take 67% damage on detonation plus two additional ticks of 67% damage over 2 seconds. Sapling Toss's damage against non-champions is capped at 300 (empowered sapling damage over time has its own cap, for a total of 600 per empowered sapling);1100;10;60/65/70/75/80;"(+1% per 100 ability power), ""(+2.5% of Maokais bonus health)"""
MAOKAI;TWISTED ADVANCE;W;Range: 525 Cooldown: 13/12/11/10/9 Cost: 60 Maokai transforms into a cloud of arcane energy, becoming untargetable and quickly traveling to a target enemy. The target takes 70/95/120/145/170 (+40% of ability power) magic damage and is rooted in place for 1/1.1/1.2/1.3/1.4 second(s).;525;13/12/11/10/9;60;(+40% of ability power)
MASTER YI;ALPHA STRIKE;Q;Range: 600 Cooldown: 18/17/16/15/14 Cost: 50/55/60/65/70 Master Yi becomes untargetable and marks to up to 4 nearby enemies before dealing 25/60/95/130/165 (+1.0 per attack damage) physical damage to them. This ability deals 75/100/125/150/175 bonus damage to monsters. If there are no unmarked enemies in range, Master Yi may strike the same enemies again, dealing 25% of the ability's damage instantly. This skill can critically strike, dealing 60% of Master Yi's attack damage as bonus physical damage. Basic attacks lower Alpha Strike's cooldown by 1 second.;600;18/17/16/15/14;50/55/60/65/70;(+1.0 per attack damage)
MASTER YI;DOUBLE STRIKE;Passive;After landing 3 basic attacks, Master Yi's next attack within 4 seconds strikes twice, dealing 50% AD bonus physical damage which applies on-hit effects and can critically strike. If Double Strike’s first hit kills a unit, the second strike now searches for a new target within 300 range (prioritizes killing blows).;;;;
MASTER YI;HIGHLANDER;R;Cooldown: 85 Cost: 100 Passive: Champion kills and assists reduce the cooldowns of Master Yi's other abilities by 70%. Active: For 7 seconds, Master Yi gains 35/45/55% bonus movement speed and 25/45/65% attack speed and becomes immune to any slows. Master Yi also ignores unit collision for the duration of this effect. While active, kills and assists extend the duration by 7 seconds.;;85;100;
MASTER YI;MEDITATE;W;Cooldown: 28 Cost: 50 Master Yi channels for 4 seconds, restoring 30/50/70/90/110 (+25% of ability power) health per second. This amount is increased by 1% per 1% of health that Master Yi is missing. While channeling, Master Yi gains 60/62.5/65/67.5/70% damage reduction. This amount is halved against turrets. Channeling Meditate pauses the durations of Wuju Style and Highlander and grants 1 stack of Double Strike per second.;;28;50;(+25% of ability power)
MASTER YI;WUJU STYLE;E;Cooldown: 18/17/16/15/14 Cost: 1 Master Yi's basic attacks deal 18/26/34/42/50 (+0.35 per bonus attack damage) bonus true damage for 5 seconds.;;18/17/16/15/14;1;(+0.35 per bonus attack damage)
MISS FORTUNE;BULLET TIME;R;Range: 1400 Cooldown: 120/110/100 Cost: 100 Miss Fortune channels a barrage of bullets into a cone in front of her every .25 seconds for a 3 second duration, dealing (+0.75 per attack damage) (+20% of ability power) physical damage per wave. She fires 12/14/16 waves in total and each wave will deal physical damage to all enemies caught in the area. Each wave of Bullet Time can critically strike, dealing 120% damage.;1400;120/110/100;100;(+0.75 per attack damage), (+20% of ability power)
MISS FORTUNE;DOUBLE UP;Q;Range: 625 Cooldown: 7/6/5/4/3 Cost: 43/46/49/52/55 Miss Fortune fires a shot at an enemy target which deals 20/40/60/80/100 (+1.0 total attack damage) (+35% of ability power) physical damage before bouncing through her target to an enemy behind it. Bounces can critically strike, and always critically strike when the first hit kills a target. Both hits apply on-hit effects. * Bounce hit range: 500;625;7/6/5/4/3;43/46/49/52/55;(+1.0 total attack damage), (+35% of ability power)
MISS FORTUNE;LOVE TAP;Passive;Whenever Miss Fortune basic attacks a new target, she deals 0.5 - 1.0 times her attack damage (at levels 1-18) bonus physical damage. Love Tap deals 50% damage to minions.;;;;
MISS FORTUNE;MAKE IT RAIN;E;Range: 1000 Cooldown: 18/16/14/12/10 Cost: 80 Miss Fortune fires hundreds of bullets into the air which rain down at a location after 0.5 seconds, dealing 80/115/150/185/220 (+80% of ability power) magic damage over 2 seconds and slowing enemies hit by 40/45/50/55/60% for 0.25 seconds. This slow is refreshed if enemies stay within the area.;1000;18/16/14/12/10;80;(+80% of ability power)
MISS FORTUNE;STRUT;W;Cooldown: 12 Cost: 30 Passive: After 5 seconds of not taking direct damage, Miss Fortune gains 25 movement speed, ramping up to 50/60/70/80/90 after 5 additional seconds. Active: Miss Fortune instantly gains the maximum movement speed bonus as well as 40/55/70/85/100% attack speed for 4 seconds. While Strut is on cooldown, applying Love Tap reduces its remaining cooldown by 2 seconds (scales down with cooldown reduction).;;12;30;
MORDEKAISER;DARKNESS RISE;Passive;Mordekaiser's basic attacks deal bonus magic damage on-hit equal to 40% of his ability power. Damaging abilities or basic attacks grant 1 stack per enemy champion or large monster hit, up to a maximum of 3. After 3 basic attacks or abilities against enemy champions and large monsters, Mordekaiser gains Darkness Rise for 4 seconds, causing him to deal 5-15 0.3) (+1-5% of target's maximum health) magic damage (depending on level) per second to all nearby enemies and gain 3% bonus movement speed (levels 1-18). Damage is capped against monsters at 28-164 (depending on level). Further basic attacks and abilities against enemy champions and epic monsters refresh Darkness Rise's duration.;;;;"""(+1-5% of targets maximum health)"""
MORDEKAISER;DEATH'S GRASP;E;Cooldown: 24/21/18/15/12 Passive: Mordekaiser gains 5/7.5/10/12.5/15% magic penetration. Active: Mordekaiser summons a deadly claw which drags enemies in an area towards him, dealing 80/95/110/125/140 (+60% of ability power) magic damage.;;24/21/18/15/12;;(+60% of ability power)
MORDEKAISER;INDESTRUCTIBLE;W;Cooldown: 14/13/12/11/10 Passive: Mordekaiser stores 35% of the damage he deals and 15% of the damage he takes (reduced by 75% against non-champions) as energy on his secondary resource bar. Active: Mordekaiser consumes the stored energy to grant himself a decaying shield for 4 seconds. The shield value is equal to 5-30% of Mordekaiser's maximum health, depending on how much energy he had stored. After 0.25 seconds, Mordekaiser can re-cast this ability to consume the shield, healing himself for 40/42.5/45/47.5/50% of the remaining shield amount.;;14/13/12/11/10;;
MORDEKAISER;OBLITERATE;Q;Cooldown: 9/7.75/6.5/5.25/4 Mordekaiser slams down his mace, dealing 75/95/115/135/155 (+60% of ability power) (+5-139, depending on level) magic damage in an area. If he hits only a single enemy, the damage dealt is increased by 30/35/40/45/50%.;;9/7.75/6.5/5.25/4;;(+60% of ability power), (+5-139, depending on level)
MORDEKAISER;REALM OF DEATH;R;Range: 650 Cooldown: 140/120/100 Mordekaiser slows a target enemy champion by 75% for 0.5 seconds. If the target is still in range and targetable by the end of the duration, Mordekaiser banishes himself and the target to the Death Realm for 7 seconds. Champions outside of the Death Realm cannot enter or interact with the champions that are within. Mordekaiser steals 10% of the target's current size, armor, magic resistance, health, attack damage, ability power and attack speed for the duration of the ability. If Mordekaiser kills his target, he consumes their soul, keeping the bonus stats until they respawn.;650;140/120/100;;
MORGANA;BLACK SHIELD;E;Range: 800 Cooldown: 26/24/22/20/18 Cost: 80 Places a shield around target friendly champion, absorbing the next 80/135/190/245/300 (+70% of ability power) magic damage the unit would take. While active, Black Shield prevents the application of all disables. Lasts 5 seconds or until the shield has been depleted.;800;26/24/22/20/18;80;(+70% of ability power)
MORGANA;DARK BINDING;Q;Range: 1300 Cooldown: 11 Cost: 50/55/60/65/70 Fires a bolt of dark energy towards a target location, binding the first unit hit to the ground for 2/2.25/2.5/2.75/3 seconds and dealing 80/135/190/245/300 (+90% of ability power) magic damage.;1300;11;50/55/60/65/70;(+90% of ability power)
MORGANA;SOUL SHACKLES;R;Range: 1000 Cooldown: 120/110/100 Cost: 100 After a 0.5-second delay, Morgana latches chains of energy onto nearby enemy champions, dealing 150/225/300 (+70% of ability power) magic damage. The tethers grant true sight of affected enemies and slow them by 20%. Additionally, Morgana gains 5/30/55% bonus movement speed towards tethered enemies. Targets who did not leave the tether range after 3 seconds are revealed and stunned for 1.5 seconds and dealt the same magic damage again.;1000;120/110/100;100;(+70% of ability power)
MORGANA;SOUL SIPHON;Passive;Morgana heals for 20% of the damage her abilities deal to champions, large minions, and large monsters.;;;;
MORGANA;TORMENTED SHADOW;W;Range: 900 Cooldown: 12 Cost: 70/85/100/115/130 Morgana infects the target area for 5 seconds, causing enemies who stand on the location to take 6/12/18/24/30 (+7% of ability power) magic damage each half second, increased by up to 170% based on the enemy's missing health. The total damage is increased by 50% against non-epic monsters. Over the full duration, Tormented Shadow deals a total of 60/120/180/240/300 (+70% of ability power) damage minimum, scaling up to 162/324/486/648/810 (+189% of ability power) based on the enemy's missing health. Tormented Shadow's cooldown is reduced by 5% whenever Soul Siphon triggers.;900;12;70/85/100/115/130;(+7% of ability power), (+70% of ability power), (+189% of ability power)
NAMI;AQUA PRISON;Q;Range: 875 Cooldown: 12/11/10/9/8 Cost: 60 Sends a bubble into the air towards a targeted area. When it lands, it deals 75/130/185/240/295 (+50% of ability power) magic damage to all enemies in the area of impact and encases them into bubbles. Enemies hit by the bubble are lifted into the air and stunned for 1.5 seconds before being dropped to the ground.;875;12/11/10/9/8;60;(+50% of ability power)
NAMI;EBB AND FLOW;W;Range: 725 Cooldown: 10 Cost: 70/85/100/115/130 Unleashes a stream of water that bounces back and forth between allied and enemy champions. On Ally Hit: Heals the ally for 60/85/110/135/160 (+30% of ability power) and bounces to a nearby enemy champion. On Enemy Hit: Deals 70/110/150/190/230 (+50% of ability power) magic damage to the enemy and bounces to a nearby allied champion. Ebb and Flow can only bounce to each target once and hits up to 3 targets. The damage or healing value is reduced by 15%(-7.5% per 100 AP) with each bounce.;725;10;70/85/100/115/130;(+30% of ability power), (+50% of ability power)
NAMI;SURGING TIDES;Passive;When Nami's abilities hit allied champions they gain 45 (+20% of ability power) Movement Speed for 1.5 seconds. This effect is doubled for allies hit by Tidal Wave.;;;;(+20% of ability power)
NAMI;TIDAL WAVE;R;Range: 2750 Cooldown: 120/110/100 Cost: 100 Summons a Tidal Wave outward from Nami's position. The Tidal Wave briefly knocks up enemies that it comes in contact with, slowing them by 50/60/70% and dealing 150/250/350 (+60% of ability power) magic damage. The slow duration increases based on how far the Tidal Wave has traveled, with a minimum duration of 2 seconds and a maximum of 4 seconds.;2750;120/110/100;100;(+60% of ability power)
